,PCS_ESE,label,Effectifs en EQTP,Salaire moyen en EQTP
210,621e,Autres ouvriers qualifiés des travaux publics,41030,2100
209,464a,"Assistants de la publicité, des relations publiques",30230,2100
208,622c,Monteurs câbleurs qualifiés en électricité,34770,2100
207,622g,"Plateformistes, contrôleurs qualifiés de matériel électrique ou électronique",1770,2100
218,644a,Conducteurs de véhicule de ramassage des ordures ménagères,10250,2100
205,625f,Autres opérateurs travaillant sur installations ou machines : industrie agroalimentaire (hors transformation des viandes),55810,2100
204,633c,"Electriciens, électroniciens qualifiés en maintenance entretien, réparation : automobile",4040,2100
17,425a,"Sous-bibliothécaires, cadres intermédiaires du patrimoine",12410,2100
236,545c,Employés des services techniques des assurances,63630,2200
234,624b,"Monteurs, metteurs au point très qualifiés d'ensembles mécaniques travaillant à l'unité ou en petite série",18920,2200
235,624e,Ouvriers qualifiés de contrôle et d'essais en mécanique,15510,2200
231,623b,Tuyauteurs industriels qualifiés,8160,2200
237,543f,Employés qualifiés des services commerciaux des entreprises (hors vente),159590,2200
238,554g,"Vendeurs de biens culturels (livres, disques, multimédia, objets d'art)",20410,2200
239,478c,"Techniciens d'installation, de maintenance, support et services aux utilisateurs en informatique",48660,2200
240,423b,Formateurs et animateurs de formation continue,57740,2200
241,626a,"Pilotes d'installation lourde des industries de transformation : métallurgie, production verrière, matériaux de construction",17040,2200
230,621g,"Mineurs de fond qualifiés et autres ouvriers qualifiés des industries d'extraction (carrières, pétrole, gaz...)",8220,2200
229,543e,Employés qualifiés des services du personnel et des services juridiques,40990,2200
228,432d,"Autres spécialistes de la rééducation, salariés",20450,2200
227,545b,Employés des services commerciaux de la banque,24040,2200
226,633d,"Electriciens, électroniciens qualifiés en maintenance, entretien : équipements non industriels",8820,2200
225,488a,Maîtrise de restauration  : cuisine/production,28110,2200
224,354g,Professeurs d'art (hors établissements scolaires),5360,2200
223,651b,Conducteurs d'engin lourd de manoeuvre,8170,2200
222,654c,Conducteurs qualifiés de systèmes de remontées mécaniques,1410,2200
221,637b,Ouvriers d'art,4940,2200
18,526a,Aides-soignants,252050,2200
19,524b,"Agents administratifs de l'Etat et assimilés (sauf Poste, France Télécom)",45330,2200
233,623g,Opérateurs qualifiés d'usinage des métaux sur autres machines (sauf moulistes),29810,2200
232,623f,"Opérateurs qualifiés d'usinage des métaux travaillant à l'unité ou en petite série, moulistes qualifiés",29730,2200
20,451g,Professions intermédiaires administratives des collectivités locales,96360,2300
23,434g,Educateurs de jeunes enfants,14840,2300
242,651a,Conducteurs d'engin lourd de levage,20230,2300
243,626c,Opérateurs et ouvriers qualifiés des industries lourdes du bois et de la fabrication du papier-carton,11070,2300
244,628a,"Mécaniciens qualifiés de maintenance, entretien : équipements industriels",63740,2300
245,628c,"Régleurs qualifiés d'équipements de fabrication (travail des métaux, mécanique)",18260,2300
246,628d,Régleurs qualifiés d'équipements de fabrication (hors travail des métaux et mécanique),12020,2300
247,546a,Contrôleurs des transports (personnels roulants),10330,2300
248,210x,Artisans salariés de leur entreprise,36470,2300
249,478d,Techniciens des télécommunications et de l'informatique des réseaux,40390,2300
250,471b,"Techniciens d'exploitation et de contrôle de la production en agriculture, eaux et forêt",3960,2300
251,471a,"Techniciens d'étude et de conseil en agriculture, eaux et forêt",7990,2300
252,476a,"Assistants techniques, techniciens de l'imprimerie et de l'édition",5090,2300
253,462d,"Animateurs commerciaux des magasins de vente, marchandiseurs (non cadres)",18180,2300
254,462b,Maîtrise de l'exploitation des magasins de vente,83570,2300
255,472b,"Géomètres, topographes",11140,2300
21,422a,Professeurs d'enseignement général des collèges,35540,2300
22,451h,Professions intermédiaires administratives des hôpitaux,55340,2300
257,472a,"Dessinateurs en bâtiment, travaux publics",33690,2300
24,479a,Techniciens des laboratoires de recherche publique ou de l'enseignement,26180,2300
25,432d,"Autres spécialistes de la rééducation, salariés",12010,2300
258,433c,Autres spécialistes de l'appareillage médical salariés,11070,2300
259,488b,Maîtrise de restauration  : gestion d'établissement,12130,2300
